Report Refresh Date,User Principal Name,Display Name,User State,State Change Date,Last Activity Date,Posted Count,Read Count,Liked Count,Assigned Products,Report Period
2026-06-03,Carl.Rodriguez@contoso.com,"Rodriguez, Carl",active,2025-08-13,,0,0,0,MICROSOFT TEAMS AUDIO CONFERENCING INCLUDES DIAL-OUT TO USA/CAN ONLY+MICROSOFT 365 F3+MICROSOFT DEFENDER + PURVIEW SUITE ADD-ON FOR FLW,180
2026-06-03,Gary.Flores@contoso.com,"FLORES, GARY",active,2023-09-23,2026-06-03,0,538,12,MICROSOFT FABRIC (FREE)+MICROSOFT 365 E5+MICROSOFT POWER AUTOMATE FREE+MICROSOFT TEAMS PREMIUM - LEGACY,180
2026-06-03,Robert.Tran@contoso.com,Robert TRAN,,,,0,0,0,MICROSOFT 365 F3+MICROSOFT TEAMS PHONE RESOURCE ACCOUNT,180
2026-06-03,Carl.Sanders@contoso.com,"Sanders, Carl",active,2023-05-04,2026-06-03,0,94,0,MICROSOFT 365 E5+MICROSOFT FABRIC (FREE),180
2026-06-03,Ryan.Butler@contoso.com,"BUTLER, RYAN",active,2023-05-02,2026-05-20,0,96,0,MICROSOFT 365 E5,180
2026-06-03,Katherine.Baker@contoso.com,"Baker, Katherine",active,2025-07-21,2026-06-03,0,190,0,MICROSOFT 365 E5,180
2026-06-03,Walter.Fisher@contoso.com,"Fisher, Walter",active,2023-05-04,2026-06-03,0,287,0,MICROSOFT 365 E5+MICROSOFT FABRIC (FREE),180
2026-06-03,Olivia.Nelson@contoso.com,"Nelson, Olivia",active,2023-05-04,2026-05-02,0,2,0,MICROSOFT 365 E5,180
2026-06-03,Megan.Murray@contoso.com,"MURRAY, MEGAN",active,2025-09-16,2026-05-28,0,217,0,,180
2026-06-03,Justin.Gomez@contoso.com,"GOMEZ, JUSTIN",active,2022-03-29,2026-04-29,0,86,0,MICROSOFT 365 E5+MICROSOFT FABRIC (FREE),180
2026-06-03,Ruth.Foster@contoso.com,"FOSTER, RUTH",active,2024-04-03,2026-01-13,0,7,0,MICROSOFT TEAMS AUDIO CONFERENCING INCLUDES DIAL-OUT TO USA/CAN ONLY+MICROSOFT DEFENDER + PURVIEW SUITE ADD-ON FOR FLW+MICROSOFT 365 F3,180
2026-06-03,Dennis.Chavez@contoso.com,"CHAVEZ, DENNIS",active,2023-11-01,,0,0,0,MICROSOFT DEFENDER + PURVIEW SUITE ADD-ON FOR FLW+MICROSOFT 365 F3+MICROSOFT TEAMS AUDIO CONFERENCING INCLUDES DIAL-OUT TO USA/CAN ONLY,180
