Report Refresh Date,Group Display Name,Is Deleted,Owner Principal Name,Last Activity Date,Group Type,Office 365 Connected,Member Count,Posted Count,Read Count,Liked Count,Report Period
2026-06-03,Operations Network,False,William.Griffin@contoso.com,2025-09-09,private,Yes,1,,,,180
2026-06-03,Procurement Hub,False,Zachary.Myers@contoso.com,,private,Yes,1,,,,180
2026-06-03,Engineering Community,False,Catherine.Jackson@contoso.com,2026-05-27,public,Yes,18,,16,,180
2026-06-03,Cybersecurity Forum,False,Kathleen.Wilson@contoso.com,2026-06-03,public,Yes,60,2,166,2,180
2026-06-03,HR Connect,False,Kimberly.Ramirez@contoso.com,2026-06-03,public,Yes,85,44,8386,222,180
2026-06-03,Sustainability Group,False,,,public,Yes,5,,,,180
2026-06-03,IT Service Community,False,Daniel.Baker@contoso.com,2026-06-02,public,Yes,36,,8,,180
2026-06-03,Marketing Team,False,Brandon.Martinez@contoso.com,2026-06-01,public,Yes,139,7,1411,13,180
2026-06-03,Finance Network,False,Maria.Hamilton@contoso.com,2026-04-30,public,Yes,58,4,660,20,180
2026-06-03,Safety First,False,Hannah.Gutierrez@contoso.com,2026-04-21,public,Yes,52,1,99,6,180
2026-06-03,Innovation Lab,False,William.Griffin@contoso.com,2026-06-02,public,Yes,18295,,26,100,180
2026-06-03,Logistics Hub,False,Hannah.Gutierrez@contoso.com,2026-06-03,public,Yes,386,13,4160,89,180
2026-06-03,Data & Analytics Community,False,Larry.Ward@contoso.com,2026-03-12,private,Yes,6,5,55,3,180
2026-06-03,Project Management Office,False,William.Lopez@contoso.com,2026-06-03,public,Yes,757,25,5772,172,180
2026-06-03,Learning & Development,False,Kathleen.Sanders@contoso.com,2026-05-19,public,Yes,16,,151,,180
2026-06-03,Quality Assurance Forum,False,Samuel.Brooks@contoso.com,2026-06-03,public,Yes,78,32,4742,142,180
2026-06-03,Supply Chain Forum,False,Heather.Turner@contoso.com,2025-12-28,private,Yes,3,,4,,180
2026-06-03,Customer Success Network,False,Brian.White@contoso.com,2026-06-03,public,Yes,157,67,7264,172,180
2026-06-03,Field Services Community,False,Aaron.Gonzales@contoso.com,2026-03-05,private,Yes,1,,1,,180
2026-06-03,Manufacturing Excellence,False,Sara.Young@contoso.com,2026-06-03,public,Yes,1094,89,18527,852,180
2026-06-03,Continuous Improvement,False,Scott.Graham@contoso.com,2024-07-16,private,Yes,1,,,,180
2026-06-03,Digital Workplace,True,,2025-12-23,public,Yes,0,1,,,180
2026-06-03,Change Management Network,False,Sandra.Harris@contoso.com,2026-02-10,public,Yes,5,,2,,180
2026-06-03,Maintenance & Reliability,False,Nicholas.Jones@contoso.com,2026-06-03,public,Yes,97,2,51,1,180
2026-06-03,Environmental Health & Safety,False,Robert.Carter@contoso.com,,private,Yes,12,,,,180
2026-06-03,Procurement Strategy Group,False,Richard.Morris@contoso.com,2026-06-03,private,Yes,4,5,35,,180
2026-06-03,Technical Operations,False,,,public,Yes,1,,,,180
2026-06-03,Business Systems Community,False,,2026-06-03,private,Yes,2,15,67,3,180
2026-06-03,Employee Resource Network,False,Hannah.Gutierrez@contoso.com,2026-06-03,public,Yes,1116,15,4753,110,180
2026-06-03,Knowledge Sharing Hub,False,Kimberly.Collins@contoso.com,2026-04-15,public,Yes,27,1,115,3,180
2026-06-03,Automation & Controls,False,,,public,Yes,1,,,,180
2026-06-03,Research & Development,False,Andrew.Chavez@contoso.com,2026-06-03,public,Yes,3041,9,24953,37,180
2026-06-03,Compliance Community,True,,,public,Yes,0,,,,180
2026-06-03,Communications Team,False,Victoria.Murphy@contoso.com,2026-06-03,public,Yes,88,1,76,7,180
2026-06-03,Inclusion & Belonging Network,True,,2026-01-15,public,Yes,0,1,10,1,180
2026-06-03,Plant Operations Forum,False,James.Sanders@contoso.com,2026-05-21,private,Yes,11,12,218,20,180
2026-06-03,Warehouse Operations,False,Emily.Carter@contoso.com,2026-06-03,public,Yes,60,11,1310,9,180
2026-06-03,Asset Management Community,False,Katherine.Flores@contoso.com,2026-06-03,public,Yes,7629,312,163468,2443,180
2026-06-03,Process Optimization,False,Kathleen.Wilson@contoso.com,,public,Yes,24,,,,180
2026-06-03,Training & Enablement,False,,2026-02-19,public,Yes,0,1,37,,180
2026-06-03,Service Desk Community,False,Kimberly.Collins@contoso.com,2026-06-03,public,Yes,895,52,17655,454,180
2026-06-03,Cloud Infrastructure Group,False,Peter.Diaz@contoso.com,2026-06-03,private,Yes,264,49,20736,133,180
2026-06-03,Application Support Forum,False,Anna.Simmons@contoso.com,2025-12-22,private,Yes,4,2,11,,180
2026-06-03,Vendor Management Network,False,Catherine.Sanchez@contoso.com,,public,Yes,52,,,,180
2026-06-03,Reliability Engineering,False,Hannah.Gutierrez@contoso.com,,public,Yes,26,,,,180
2026-06-03,Compliance Community,True,,,public,Yes,0,,,,180
2026-06-03,Workforce Planning,False,Kathleen.Wilson@contoso.com,2026-06-03,public,Yes,188,7,683,24,180
2026-06-03,Records & Information Community,False,Kathleen.Wilson@contoso.com,2026-06-03,public,Yes,101,30,3818,56,180
2026-06-03,Strategy & Insights,False,Patricia.Ruiz@contoso.com,2026-06-03,public,Yes,14142,25,53217,284,180
2026-06-03,Operational Excellence,False,Frank.Powell@contoso.com,2026-06-03,public,Yes,866,143,129226,663,180
