Report Refresh Date,User Principal Name,Display Name,User State,State Change Date,Last Activity Date,Used Web,Used Windows Phone,Used Android Phone,Used iPhone,Used iPad,Used Others,Report Period
2026-06-03,Carl.Rodriguez@contoso.com,"Rodriguez, Carl",active,2025-08-13,,No,No,No,No,No,No,180
2026-06-03,Gary.Flores@contoso.com,"FLORES, GARY",active,2023-09-23,2026-06-03,Yes,No,No,No,No,Yes,180
2026-06-03,Robert.Tran@contoso.com,Robert TRAN,,,,No,No,No,No,No,No,180
2026-06-03,Carl.Sanders@contoso.com,"Sanders, Carl",active,2023-05-04,2026-06-03,Yes,No,No,No,No,Yes,180
2026-06-03,Ryan.Butler@contoso.com,"BUTLER, RYAN",active,2023-05-02,2026-05-20,Yes,No,No,No,No,Yes,180
2026-06-03,Katherine.Baker@contoso.com,"Baker, Katherine",active,2025-07-21,2026-06-03,Yes,No,No,No,No,Yes,180
2026-06-03,Walter.Fisher@contoso.com,"Fisher, Walter",active,2023-05-04,2026-06-03,Yes,No,No,No,No,Yes,180
2026-06-03,Olivia.Nelson@contoso.com,"Nelson, Olivia",active,2023-05-04,2026-05-02,Yes,No,No,No,No,No,180
2026-06-03,Megan.Murray@contoso.com,"MURRAY, MEGAN",active,2025-09-16,2026-05-28,No,No,Yes,No,No,No,180
2026-06-03,Justin.Gomez@contoso.com,"GOMEZ, JUSTIN",active,2022-03-29,2026-04-29,Yes,No,No,No,No,Yes,180
2026-06-03,Ruth.Foster@contoso.com,"FOSTER, RUTH",active,2024-04-03,2026-01-13,Yes,No,No,No,No,No,180
2026-06-03,Dennis.Chavez@contoso.com,"CHAVEZ, DENNIS",active,2023-11-01,,No,No,No,No,No,No,180
2026-06-03,Eric.Griffin@contoso.com,"Griffin, Eric",active,2025-08-13,2026-05-29,Yes,No,No,No,No,Yes,180
2026-06-03,Olivia.Bennett@contoso.com,"Bennett, Olivia",active,2023-09-21,2026-06-02,Yes,No,No,No,No,Yes,180
2026-06-03,William.Simmons@contoso.com,"SIMMONS, WILLIAM",active,2025-07-31,,No,No,No,No,No,No,180
2026-06-03,Emily.Sanders@contoso.com,"SANDERS, EMILY",active,2023-05-02,2026-06-02,No,No,Yes,No,No,Yes,180
2026-06-03,Karen.Patel@contoso.com,"PATEL, KAREN",active,2022-01-24,,No,No,No,No,No,No,180
