Report Refresh Date,Group Display Name,Is Deleted,Owner Principal Name,Last Activity Date,Group Type,Office 365 Connected,Member Count,Posted Count,Read Count,Liked Count,Report Period
2026-06-03,Testes Conteúdos,False,William.Griffin@contoso.com,2025-09-09,private,Yes,1,,,,180
2026-06-03,Project Falcon,False,Zachary.Myers@contoso.com,,private,Yes,1,,,,180
2026-06-03,Contoso Cybersecurity Awareness,False,Catherine.Jackson@contoso.com,2026-05-27,public,Yes,18,,16,,180
2026-06-03,South Pasture Facility,False,Kathleen.Wilson@contoso.com,2026-06-03,public,Yes,60,2,166,2,180
2026-06-03,Global Procurement,False,Kimberly.Ramirez@contoso.com,2026-06-03,public,Yes,85,44,8386,222,180
2026-06-03,Marketing Produtos,False,,,public,Yes,5,,,,180
2026-06-03,Compras Estrategica,False,Daniel.Baker@contoso.com,2026-06-02,public,Yes,36,,8,,180
2026-06-03,Contoso Drone Hub,False,Brandon.Martinez@contoso.com,2026-06-01,public,Yes,139,7,1411,13,180
2026-06-03,Global Cybersecurity,False,Maria.Hamilton@contoso.com,2026-04-30,public,Yes,58,4,660,20,180
2026-06-03,Plant City Facility,False,Hannah.Gutierrez@contoso.com,2026-04-21,public,Yes,52,1,99,6,180
2026-06-03,System Administration Technical Community,False,William.Griffin@contoso.com,2026-06-02,public,Yes,18295,,26,100,180
2026-06-03,Belle Plaine Facility,False,Hannah.Gutierrez@contoso.com,2026-06-03,public,Yes,386,13,4160,89,180
2026-06-03,Engineering Words of Wisdom,False,Larry.Ward@contoso.com,2026-03-12,private,Yes,6,5,55,3,180
2026-06-03,"Excelência Operacional – Manutenção, Suprimentos & Almoxarifado",False,William.Lopez@contoso.com,2026-06-03,public,Yes,757,25,5772,172,180
2026-06-03,AgCollege Online (美盛线上农学院) 学习互动社区,False,Kathleen.Sanders@contoso.com,2026-05-19,public,Yes,16,,151,,180
2026-06-03,Contoso U.S. Government Relations,False,Samuel.Brooks@contoso.com,2026-06-03,public,Yes,78,32,4742,142,180
2026-06-03,Share SAP use tricks or new T-Code,False,Heather.Turner@contoso.com,2025-12-28,private,Yes,3,,4,,180
2026-06-03,AI at Contoso,False,Brian.White@contoso.com,2026-06-03,public,Yes,157,67,7264,172,180
2026-06-03,Grupo teste,False,Aaron.Gonzales@contoso.com,2026-03-05,private,Yes,1,,1,,180
2026-06-03,Global Employee Inclusion Networks | Redes Globais de Inclusão de Funcionários | Redes de Inclusión Globales de Empleados | 全球员工包容性网络,False,Sara.Young@contoso.com,2026-06-03,public,Yes,1094,89,18527,852,180
2026-06-03,MC D-Squad,False,Scott.Graham@contoso.com,2024-07-16,private,Yes,1,,,,180
2026-06-03,FSO Engineers -IT & Cybersecurity,True,,2025-12-23,public,Yes,0,1,,,180
2026-06-03,EST - MineCom Recognition,False,Sandra.Harris@contoso.com,2026-02-10,public,Yes,5,,2,,180
2026-06-03,Finished Goods Warehouses,False,Nicholas.Jones@contoso.com,2026-06-03,public,Yes,97,2,51,1,180
2026-06-03,North American Security,False,Robert.Carter@contoso.com,,private,Yes,12,,,,180
2026-06-03,Operações e Comunidades,False,Richard.Morris@contoso.com,2026-06-03,private,Yes,4,5,35,,180
2026-06-03,Metalurgistas,False,,,public,Yes,1,,,,180
2026-06-03,Teste,False,,2026-06-03,private,Yes,2,15,67,3,180
2026-06-03,Esterhazy,False,Hannah.Gutierrez@contoso.com,2026-06-03,public,Yes,1116,15,4753,110,180
2026-06-03,North Carolina Biosciences Lab,False,Kimberly.Collins@contoso.com,2026-04-15,public,Yes,27,1,115,3,180
2026-06-03,PCM+IM Fospar,False,,,public,Yes,1,,,,180
2026-06-03,Intelex Users,False,Andrew.Chavez@contoso.com,2026-06-03,public,Yes,3041,9,24953,37,180
2026-06-03,My New Engage Community2,True,,,public,Yes,0,,,,180
2026-06-03,IT Service Management & ITIL Excellence | Contoso IT,False,Victoria.Murphy@contoso.com,2026-06-03,public,Yes,88,1,76,7,180
2026-06-03,Teste Publicações office.,True,,2026-01-15,public,Yes,0,1,10,1,180
2026-06-03,Communications Delivery,False,James.Sanders@contoso.com,2026-05-21,private,Yes,11,12,218,20,180
2026-06-03,Unidade de Mistura de Rondonópolis.,False,Emily.Carter@contoso.com,2026-06-03,public,Yes,60,11,1310,9,180
2026-06-03,Nossa Gente | Nuestra Gente,False,Katherine.Flores@contoso.com,2026-06-03,public,Yes,7629,312,163468,2443,180
2026-06-03,Bonnie Facility,False,Kathleen.Wilson@contoso.com,,public,Yes,24,,,,180
2026-06-03,Mike Rodgers Migration TEST Community,False,,2026-02-19,public,Yes,0,1,37,,180
2026-06-03,Florida Mining,False,Kimberly.Collins@contoso.com,2026-06-03,public,Yes,895,52,17655,454,180
2026-06-03,Recursos Humanos más cerca de ti.,False,Peter.Diaz@contoso.com,2026-06-03,private,Yes,264,49,20736,133,180
2026-06-03,Group Plus,False,Anna.Simmons@contoso.com,2025-12-22,private,Yes,4,2,11,,180
2026-06-03,GSS Operations,False,Catherine.Sanchez@contoso.com,,public,Yes,52,,,,180
2026-06-03,Green Bay,False,Hannah.Gutierrez@contoso.com,,public,Yes,26,,,,180
2026-06-03,My New Engage Community2,True,,,public,Yes,0,,,,180
2026-06-03,Uncle Sam Facility,False,Kathleen.Wilson@contoso.com,2026-06-03,public,Yes,188,7,683,24,180
